gpu_memory_utilization,vram_reserved_gb,tokens_per_sec,kv_cache_gb
0.5,15.021899776,621.2175632427044,27.5
0.6,15.021899776,616.454509512792,36.1
0.7,15.021899776,620.5400882744804,44.6
0.8,15.021899776,622.2057041505368,53.1
0.9,15.021899776,619.7591150799433,61.6
