batch_size,tokens_per_sec,latency_ms_per_request
1,82.22596878590385,2432.3225021362305
2,161.0251246021864,1242.049064176778
4,318.58504153789846,627.7841433572272
8,626.2948217724357,319.33931866660714
16,1231.9371205705086,162.3460114157448
32,2228.1318515143535,89.76130942270781
